徐家汇地铁站出口 04年品质小区  含产权车位 钥匙房|1450|147|尊园|3室2厅
金星苑 小区环境好 出行方便 地理位置好|1350|127|金星苑|3室2厅
望族城 4室2厅 950万|950|208|望族城|4室2厅
印象欧洲  精装二房  钥匙房  南北户型  采光好|630|87|印象欧洲(公寓)|2室1厅
老沪闵路709弄房东置换急售 看房基本随时 价格可谈|300|49|老沪闵路709弄|1室1厅
两房一厅一厨一卫，两房朝南，楼层高采光足|370|70|龙州小区|2室1厅
小区优选房源，全明电梯两房，动迁房无增值税产权清晰|505|85|紫薇园|2室1厅
全南三房，正看空中花园，闹中取静！看房有钥匙|1120|137|创世纪花园|3室2厅
莱诗邸三房急售，徐汇好品质，绿化好，居住人群层次高|1500|149|莱诗邸|3室2厅
全南户型，地铁房，采光无挡，闹中取静，出行方便|738|96|锦蝶苑|2室2厅
精装修南北边套两房，57.32只要这个低价格，房东诚心|440|57|园南二村|2室1厅
双南精装修，拎包入住房，满五唯一税费低楼层采光好！|379|69|虹梅南路96弄|2室1厅
二期大四房，满五惟一，买进价高税少，诚意卖，随时看|1580|190|徐汇苑|4室2厅
创世纪花园 3室2厅 1200万|1200|125|创世纪花园|3室2厅
此房满五年唯一，少有小3房，总价低随时看房多条地铁|440|68|上缝小区|3室1厅
徐家汇08年小区+电梯一房+送80平米露台+徐汇体育公园|650|63|电影华苑|1室2厅
建国西路太原路 满五年唯一，售后公房，上家无成本。|665|56|建国西路358弄|2室1厅
满五唯一，折现售房，自住保养，拎包入住|1680|172|东方曼哈顿|3室2厅
户型好，南北通透，采光无遮挡 毛坯房|1500|147|虹桥乐庭|3室2厅
梓树园 2室2厅 790万|790|111|梓树园|2室2厅
高区电梯房，精装修拎包住，大一房，采光好，近地铁|630|81|爱中爱华公寓|1室2厅
百年求知，双南两房，满五唯一，采光充足，交通便利|370|54|龙吴路9弄|2室1厅
徐汇新城+中区+三居室+中区+业主诚意出售+看房有钥匙|770|113|徐汇新城(公寓)|3室2厅
看房有钥匙，满五年，中间楼层，双南户型|435|55|康健路120弄|2室1厅
06年小区，徐汇滨江辐射，两房送露台，随时看房，诚售|640|79|泰莱大厦|2室1厅
楼栋位于小区中间位置 业主处理多余房产 看房随时|1560|178|汇翠花园|3室2厅
高区电梯两房、户型方正、厅厨卫全明、满五年唯一少税|420|78|迎春园|2室1厅
乐山一村电梯三房，居家精装，随时可以拎包入住|720|86|乐山一村|3室1厅
中海馨园精装修小两房，采光充足， 看房方便|850|93|中海馨园|2室2厅
品质社区、二期满五年、有钥匙、闹中取静、房型正气|1130|109|永新花苑|2室2厅
地铁口一门关，内环90年房龄，近地铁4/7号线。|235|33|东安一村|1室0厅
徐汇公寓 116平 满五唯一 房型正气 买房诚意度高|765|115|徐汇公寓|3室1厅
内环以内，不得不看的朝南一室户，总价低|210|34|东安一村|1室0厅
售后公房+满五唯一+朝南无遮挡+后排不临街|540|53|乌中小区|1室1厅
售后公房一梯两户，两南一北，全明户型，采光通风好|570|69|长桥五村|3室1厅
边套全明 房改售房 满五唯一 1996年 1梯2户 楼层佳|538|89|龙南六村|3室1厅
徐家汇品质小区，全南三房，采光无遮挡。|1540|152|天际花园|3室2厅
内环内，单价只要6万，售后公房，无增值税，學区没用|458|76|东安二村|3室1厅
地铁3，12，11号线+售后公房+一梯两户+南北通|520|75|周家湾小区|2室2厅
三江小区 对口上师大附三  交通便利 配套齐全|446|51|三江小区|2室0厅
业主诚意出售，小区后排，正气三房，楼层佳，有车位|1560|132|永新城|3室2厅
尚海湾豪庭 3室2厅 1780万|1780|166|尚海湾豪庭|3室2厅
保利星苑 2室2厅 920万|920|100|保利星苑|2室2厅
湖心中间位置，高区景观房。满五唯一，朝南朝东采光好房主自荐|1030|107|盛大花园|2室2厅
内环地铁商圈次新房，高区南北通2+1户型，税少，诚售房主自荐|960|107|宜德苑|3室2厅
武康路280弄，降价房源边套全明，看房有钥匙！急卖|420|40|武康路280弄(公房)|2室1厅
龙华两房！汇龙花苑南北户型，满五不唯一，有钥匙|660|84|汇龙花苑(徐汇)|2室1厅
诚意出售，随时可签，看房方便，采光视野，总价低三房|1350|143|亚都国际名园|3室2厅
宜山路701弄超BIG天井，随时看房|400|69|宜山路701弄|2室1厅
正气三房满五唯一，税费少，诚意出售，可谈空间很大|1200|154|玉兰花苑|3室2厅
售后公房满五唯一+边套全明+小区位置佳+急售房+急急|280|33|宛南六村|1室1厅
出门地铁，配套成熟，内环普宅，双南户型，冬暖夏凉。|340|47|东安三村|2室0厅
（内环地铁200米）朝南一门关，商贷30年，满五唯一|300|38|东安一村|1室1厅
汇师精致一房+近地铁+紧挨上海体育馆+看房随时。|640|64|玉兰花苑|1室1厅
永福路湖南路南北通一房，全明房型，满五唯一诚意出售|430|39|永福路147弄|1室1厅
东曼2房，业主诚意出售，到价即签，房型正气|1090|85|东方曼哈顿|2室2厅
尚汇豪庭二期 2室2厅 1150万|1150|104|尚汇豪庭二期|2室2厅
一梯两户两南一北，对口求知，近漕宝路日月光|580|73|漕溪四村|3室1厅
品质小区精装大三房厅南北通，满五唯一，对kou师三|1260|147|西雅图嘉萱苑|3室2厅
2005年的电梯房，双南两房，房型正气，满五唯一|525|75|钦州路111弄|2室1厅
精装修买进拎包入住+售后公房满5年无增值税+双南全明|435|72|龙南六村|2室1厅
东方曼哈顿经典两房满五唯一户型方正看房方便|1200|96|东方曼哈顿|2室2厅
中海瀛台 2室2厅 950万房主自荐|950|106|中海瀛台|2室2厅
